"Alugado","Atribuido","Descricao","fabricante","Fornecedor","NumSerie","Patrimonio","Tipo"
"sim","não","Notebook Hp com Fonte","HP","Manatech","BRJ746L2S2","","NOTEBOOK"
"não","não","Notebook Dell inspiron 14 - 5458","DELL","","1LCY9B92","","NOTEBOOK"
"não","não","Notebook Dell inspiron 14 - 5458","DELL","","BJSP172","","NOTEBOOK"
"não","não","Notebook Dell Inspiron 7472 com Carregador","DELL","","1T4SWQ2","","NOTEBOOK"
"sim","não","Notebook HP 240 G6 (Com carregador)","HP","Manatech","BRJ827T2J2","MNT134","NOTEBOOK"
"sim","não","Notebook Hp","HP","Manatech","BRJ746L2ST","","NOTEBOOK"
"não","não","Monitor DELL SE2216H","DELL","","BR-0H5MNV-TVB00-21Q1UGI-A03","1Q2NSH3","MONITOR"
"sim","não","Notebook Hp com fonte","HP","Manatech","BRJ746L2R9","","NOTEBOOK"
"sim","não","Notebook Hp","HP","Manatech","BRJ827T2MR","","NOTEBOOK"
"não","não","DELL INSPIRON 14 5458","DELL","","BH17CD2","","NOTEBOOK"
"sim","não","Notebook HP","HP","AP Networks","BRJ044DLBQ","032635","NOTEBOOK"
"não","não","Dell Monitor P1917S - 19.5 + KIT TECLADO E MOUSE","DELL","","J8QGZL3","001000","MONITOR"
"não","não","Iphone 6S 32gb Cinza Espacial com carregador","APPLE","","DV6WN0DRHFLR","","CELULAR"
"não","não","DELL LATITUDE 7480 COM CARREGADOR + KIT TECLADO E MOUSE","DELL","","CJBPDQ2","","NOTEBOOK"
"não","não","MOTOROLA MOTO G20 - XT2128-1","MOTOROLA","","ZF523PVPFF","","CELULAR"
"não","não","MONITOR DELL P1917S - 19.5","DELL","","J9QGZL3","","MONITOR"
"não","não","Notebook Dell latitude 9480","DELL","","CJ9PDQ2","","NOTEBOOK"
"não","não","Notebook Dell Inspiron 5480","DELL","","DOL14W2","","NOTEBOOK"
"não","não","Notebook Dell Vostro 5470 ","DELL","","8T04442","","NOTEBOOK"
"sim","não","Notebook Hp ","HP","Manatech","BRJ746L2QT","","NOTEBOOK"
"não","não","Monitor Dell 19.5","DELL","","G51QG83","","MONITOR"
"sim","não","Notebook Hp ","HP","AP Networks","BRJ044DLC4","032607","NOTEBOOK"
"não","não","Notebook Dell Vostro 5470","DELL","","FPFZB92","","NOTEBOOK"
"não","não","Notebook Dell Inspiron 7472","DELL","","7HDY2T2","","NOTEBOOK"
"sim","não","Notebook Hp","HP","AP Networks","BRJ041D8HV","032348","NOTEBOOK"
"não","não","Monitor Dell S2421H","DELL","","8RKK4H3","","MONITOR"
"não","não","Notebook Dell inspiron 14 5458","DELL","","9VBZVC2","","NOTEBOOK"
"sim","não","Notebook HP","HP","Manatech","BRJ741K5K4","","NOTEBOOK"
"sim","não","Notebook HP","HP","AP Networks","BRJ041D8CR","032346","NOTEBOOK"
"não","não","MOTO G20 XT2128-1","MOTOROLA","","TY2HSA5D4X","","CELULAR"
"não","não","Dell Latitude 5490","DELL","","9CLTFV2","","NOTEBOOK"
"não","não","Notebook Dell Latitude 5490","DELL","","9CJQFV2","","NOTEBOOK"
"sim","não","Notebook Hp","HP","Manatech","BRJ746L2TL","","NOTEBOOK"
"sim","não","Notebook Hp","HP","AP Networks","BRJ041D8D1","032364","NOTEBOOK"
"não","não","Monitor Dell 19","DELL","","P1917S","","MONITOR"
"não","não","Notebook Dell inspiron 5458","DELL","","HH8FMD2","","NOTEBOOK"
"não","não","Monitor dell 19 P1917S","DELL","","H9BDT73","","MONITOR"
"não","não","Notebook Dell Inspiron 14 - 7460","DELL","","BW6SFM2","","NOTEBOOK"
"sim","não","Notebook hp","HP","Manatech","BRJ746L2RG","","NOTEBOOK"
"não","não","Motorola Moto G7 PLAY - XT1952","MOTOROLA","","355580099922397 / 355580099922405","","CELULAR"
"não","não","Moto G8 POWER","MOTOROLA","","0065811015","359097103189976 / 359097103189984","CELULAR"
"sim","não","Notebook Hp G7 240","HP","AP Networks","BRJ044DLH1","032556","NOTEBOOK"
"não","não","Motorola Moto G20 - XT2128-1","MOTOROLA","","0065946519","","CELULAR"
"sim","não","Notebook Hp","HP","AP Networks","BRJ044DLDT","032512","NOTEBOOK"
"não","não","Dell Inspiron 14 - 5458","DELL","","7TKZ1H2","","NOTEBOOK"
"não","não","Monitor DELL 22 - SE2216H","DELL","","6M130D3","","MONITOR"
"não","não","Notebook Dell Inspiron 14 - 5458","DELL","","J71S172","","NOTEBOOK"
"não","não","Motorola Moto G20 - XT2128-1","MOTOROLA","","77142734","355463476085452 / 355463476085460","CELULAR"
"sim","não","Notebook Hp","HP","AP Networks","BRJ041D8C2","032335","NOTEBOOK"
"não","não","Notebook Dell latitude 5490","DELL","","9CKYFV2","","NOTEBOOK"
"não","não","Motorola Moto G8 PLAY - XT2015-2","MOTOROLA","","ZF52282HJS","","CELULAR"
"não","não","Notebook Dell Inspiron 7472","DELL","","99PT9R2","","NOTEBOOK"
"não","não","Motorola Moto G8 PLAY - XT2015-2","MOTOROLA","","ZF52282QBP","","CELULAR"
"não","não","Notebook Dell Latitude 5490","DELL","","9CLYFV2","","NOTEBOOK"
"não","não","Motorola Moto G8 PLAY - XT2015-2","MOTOROLA","","ZF52282J49","","CELULAR"
"não","não","Notebook Dell Inspiron 15 / 3567","DELL","","GS813T2","","NOTEBOOK"
"sim","não","Notebook Hp","HP","AP Networks","BRJ044DL92","032594","NOTEBOOK"
"não","não","Dell Monitor P1917S - 19.5","DELL","","JBWJZL3","","MONITOR"
"sim","não","Notebook HP ","HP","Manatech","BRJ827T2HT","","NOTEBOOK"
"não","não","Motorola Moto G7 PLAY - XT1952","MOTOROLA","","0055435731","354143103164836 / 354143103164844","CELULAR"
"sim","não","Notebook Hp com carregador","HP","AP Networks","BRJ103GTBM","033332","NOTEBOOK"
"sim","não","Notebook Hp com carregador","HP","AP Networks","BRJ044DLFQ","032656","NOTEBOOK"
"sim","não","Notebook Hp com carregador","HP","AP Networks","BRJ043DKKF","032604","NOTEBOOK"
"não","não","Motorola Moto G20 - XT2128-1","MOTOROLA","","ZF52344VGH","352256270722475 / 352256270722483","CELULAR"
"não","não","Dell Monitor P1917S - 19.5","DELL","","J8ZJTB3","","MONITOR"
"sim","não","Notebook Hp 240 G7 com carregador","HP","AP Networks","BRJ044DLBT","032551","NOTEBOOK"
"não","não","Motorola Moto G7 POWER - XT1955-1","MOTOROLA","","0054414253","359506095975614 / 359506095975622","CELULAR"
"não","não","Notebook Dell P92G + teclado e mouse","DELL","","D0744W2","","NOTEBOOK"
"não","não","Samsung Galaxy s9 128gb com carregador e fone","SAMSUNG","","RX8M80DP06F","","CELULAR"
"sim","não","Notebook Hp","HP","Manatech","BRJ827T2NH","","NOTEBOOK"
"sim","não","Notebook Hp","HP","AP Networks","BRJ044DLCN","032627","NOTEBOOK"
"não","não","Motorola Moto G20 - XT2128-1","MOTOROLA","","355463475206711 / 355463475206729","","CELULAR"
"sim","não","Notebook Hp G7 240","HP","AP Networks","BRJ041D8DK","032357","NOTEBOOK"
"sim","não","Notebook hp 240 g7","HP","AP Networks","BRJ044DL9K","032479","NOTEBOOK"
"sim","não","Notebook hp 240 g7","HP","AP Networks","BRJ041D8DH","032361","NOTEBOOK"
"não","não","Monitor Dell P1917S","DELL","","3Q06ZL3","","MONITOR"
"não","não","Monitor Dell P1917S","DELL","","75Y6ZL3","","MONITOR"
"não","não","Moto G7 Power com carregador","MOTOROLA","","359506095975614/359506095975622","","CELULAR"
"não","não","Notebook Dell Latitude 5400 + teclado e mouse","DELL","","809MN33","","NOTEBOOK"
"não","não","Motorola Moto G8 Power Lite - XT2055-2","MOTOROLA","","IDHT56YT1","","CELULAR"
"não","não","Notebook Dell latitude 5490","DELL","","9CJWFV2","000660","NOTEBOOK"
"não","não","Monitor Dell P1917S","DELL","","OKRF68-TVB00-85M-08NL-A06","","MONITOR"
"não","não","Celular Motorola Moto G7 - XT1952","MOTOROLA","","0055448247","","CELULAR"
"não","não","Notebook Dell Inspiron 5480 com carregador","DELL","","D0G34W2","","NOTEBOOK"
"não","não","Monitor Dell SE2216H","DELL","","1KC8253","","MONITOR"
"não","não","Monitor Dell 1917S","DELL","","CN-02PWVC-TV100-23D-1B7B-A19","","MONITOR"
"não","não","Notebook Dell Latitude 7480","DELL","","CJ9PDQ2","","NOTEBOOK"
"não","não","Monitor Dell P1917S","DELL","","CN-02WVC-TV100-23D-1BBB-A19","","MONITOR"
"não","não","Monitor Dell P1917S","DELL","","CN-03GTCV-72872-3BF-C5ML","","MONITOR"
"não","não","Monitor Dell P1917S","DELL","","BR-03GTCV-72872-3BF-A2JL","","MONITOR"
"não","não","Dell Latitude 5490","DELL","","9CKRFV2","","NOTEBOOK"
"não","não","Monitor Dell P1917S","DELL","","BR-0DF3YF-TVB00-69F-0I4L-A00","","MONITOR"
"não","não","Monitor Dell P1917S","DELL","","BR-0KTF68-TVB00-85M-0THL-A06","000992","MONITOR"
"não","não","Monitor Dell P1917S","DELL","","CN-02PWVC-TV100-135-0LJB-A17","","MONITOR"
"não","não","Monitor Dell P1917S","DELL","","BR-0KTF68-TVB00-88H-04LL-A06","000570","MONITOR"
"não","não","Celular Motorola Moto G8 Power XT2041-1","MOTOROLA","","0066592037","","CELULAR"
"não","não","MONITOR DELL P1917S","DELL","","BR-0KTF68-TVB00-85M-080L-A06","000998","MONITOR"
"não","não","Monitor Dell P2018Hc","DELL","","BR-0KTF68-TVBOO-8CA-1E0L-A06","","MONITOR"
"não","não","Monitor DELL Modelo P2018Hc","DELL","","BR-00CPG1-TVB00-1AK-0HRU-A13","000353","MONITOR"
"não","não","Monitor CCE LN24GSN","CCE","","114 BNQMIL00GTP8YS0036","","MONITOR"
"não","não","Celular Motorola Moto G9 XT2087-1","MOTOROLA","","0073380793","","CELULAR"
"não","não","Monitor AOC E22705","AOC","","FMY5AIA001342","0519","MONITOR"
"não","não","Monitor Dell P1917S","DELL","","CN-02PWVC-TV100-135-0LJB","","MONITOR"
"não","não","Celular Motorola Moto G22 XT2231-1","MOTOROLA","","0079033734","","CELULAR"
"sim","não","Notebook Hp g7 240","HP","AP Networks","BRJ044DLB4","032491","NOTEBOOK"
"não","não","Monitor Dell P1917S","DELL","","BR-0KTF68-TVB00-85M-080L-A06","","MONITOR"
"sim","não","Notebook Hp G6 240","HP","AP Networks","BRJ848ZWPH ","031138","NOTEBOOK"
"não","não","Monitor Dell P2018h","DELL","","BR-00CPG1-TVB00-1AK-41UU-A13","","MONITOR"
"não","não","Monitor Dell P1917S","DELL","","CN-02PWVC-TV100-21E-00WB","","MONITOR"
"não","não","Moto G8 lite c/ carregador","MOTOROLA","","0068530063","","CELULAR"
"não","não","Monitor Dell P1917S","DELL","","S/T: 4XY31V2","000579","MONITOR"
"não","não","Notebook Dell Vostro 5481 ","DELL","","H81PQX2","","NOTEBOOK"
"não","não","Monitor Dell P1917S","DELL","","CN-02PWVC-TV100-23D-1BEB-A19","","MONITOR"
"não","não","Motorola Moto G8 PLAY - XT2015-2","MOTOROLA","","ZF52282J49","","CELULAR"
"não","não","Monitor Dell P1917S","DELL","","BR-0KTF68-TVB00-88H-087L-A06","","MONITOR"
"sim","não","Notebook hp G7","HP","AP Networks","BRJ044DL8H","032502","NOTEBOOK"
"não","não","Motorola Moto G8 POWER","MOTOROLA","","0065811015","","CELULAR"
"não","não","Monitor DELL 22","DELL","","SE2216H","","MONITOR"
"sim","não","Notebook Hp G7","HP","AP Networks","BRJ043DKLY","032493","NOTEBOOK"
"não","não","Dell Inspiron 7472 ","DELL","","1T3WWQ2","","NOTEBOOK"
"não","não","Monitor AOC","AOC","","FMY5AIA001273","000918","MONITOR"
"não","não","Moto G20","MOTOROLA","","ZF523NSLJJ","","CELULAR"
"sim","não","Notebook Hp 240 G6","HP","AP Networks","BRJ848ZWSQ","031176","NOTEBOOK"
"não","não","Monitor Dell P1917S","DELL","","BR-OKTF68-TVB00-86J-0QDL-A06","","MONITOR"
"não","não","Notebook Dell Latitude 5490","DELL","","80J13T2","","NOTEBOOK"
"não","não","Monitor Dell P1917S","DELL","","CN-03GTCV-72872-3BF-AV4L","000055","MONITOR"
"não","não","Monitor Dell P1917S","DELL","","45P5TM2","","MONITOR"
"não","não","Celular Motorola Moto G100 XT2125-4","MOTOROLA","","0073323543","","CELULAR"
"não","não","Monitor Dell P1917S","DELL","","CN-02PWVC-TV100-23D-1BEB-A19","","MONITOR"
"não","não","Monitor Dell P1917S","DELL","","CN-PWVC-TV100-9B8-2SLL-A12","","MONITOR"
"não","não","Notebook Dell Latitude 5490","DELL","","141JQX2","","NOTEBOOK"
"não","não","Monitor Philips 227E6E","PHILIPS","","FXOA1540051434","","MONITOR"
"não","não","Monitor DELL P1917S","DELL","","BR-0KTF68-TVB00-85M-0DTL-A06","","MONITOR"
"não","não","Notebook Dell Inspiron 7472 com carregador","DELL","","7N3L5V2","","NOTEBOOK"
"não","não","Monitor Dell P19175","DELL","","J8ZJTB3 ","","MONITOR"
"não","não","Monitor Dell P1917S","DELL","","BR-0KTF68-TVB00-BCA-1FGL-A06","","MONITOR"
"sim","não","Notebook Hp 240 g6 (Manatech) ","HP","Manatech","BRJ846YZJ7","","NOTEBOOK"
"sim","não","Notebook Hp G7 240","HP","AP Networks","BRJ033CLSJ","032326","NOTEBOOK"
"não","não","P1917S","DELL","","CN-02PWVC-TV100-24K-053B","","MONITOR"
"não","não","P1917S","DELL","","CN-02PWVC-TV100-24K-059B","","MONITOR"
"não","não","P1917S","DELL","","CN-02PWVC-TV100-218-1AUB-A19","","MONITOR"
"sim","não","Notebook Hp G7 240","HP","AP Networks","BRJ044DLGN","032567","NOTEBOOK"
"sim","não","Notebook Hp G7 240","HP","AP Networks","BRJ044DLFK","032482","NOTEBOOK"
"não","não","Celular Motorola Moto G(20)","MOTOROLA",""," ZF523NSLJJ","","CELULAR"
"sim","não","Notebook Hp G8 240","HP","AP Networks","BRJ22908RG","036060","NOTEBOOK"
"sim","não","Notebook Hp G8 240","HP","AP Networks","BRJ229093V"," 036062","NOTEBOOK"
"não","não","Monitor Dell P2222H","DELL","","BR- OVW2GP-TVB00-276-39GB","2Z23ZM3","MONITOR"
"não","não","Monitor Dell P2222H","DELL","","BR-0VW2GP-TVB00-276-4RBB","SERVICE  TAG: 4W74ZM3","MONITOR"
"não","não","Monitor Dell 24 pol 0H59W1","DELL","","BR-H59W1-TVB00-291-0FUL","SERVICE TAG: B9XSG83","MONITOR"
"não","não","Monitor Dell P2222H","DELL","","BR-0VW2GP-TVB00-26R-160L","SERVICE TAG: JJ44ZM3","MONITOR"
"não","não","Monitor P2222H","DELL","","BR-0VW2GP-TVB00-271-4J5B","SERVICE TAG: 8TF2ZM3","MONITOR"
"não","não","Monitor Dell P2222H","DELL","","BR-0VW2GP-TVB00-271-4JNB","SERVICE TAG: 8C83ZM3","MONITOR"
"não","não","Celular Motorola EDGE 20 PRO - XT2153-1","MOTOROLA","","UA4HSA2CGD","","CELULAR"
